family,subsector,mass_prefix,spansh_max,edsm_confirmed_max,edsm_confirmed_system,steps_extended,terminated_at_step,chain_status
Phoi Aescs JD-A,JD-A,d14,1,2,Phoi Aescs JD-A d14-2,1,2,terminated
Phoi Aescs JR-N,JR-N,e6,0,1,Phoi Aescs JR-N e6-1,1,2,terminated
Phoi Aescs KW-C,KW-C,c26,0,1,Phoi Aescs KW-C c26-1,1,2,terminated
Phoi Aescs LB-O,LB-O,d6,0,1,Phoi Aescs LB-O d6-1,1,2,terminated
Phoi Aescs OC-B,OC-B,c27,0,1,Phoi Aescs OC-B c27-1,1,2,terminated
Phoi Aescs TJ-R,TJ-R,d4,0,1,Phoi Aescs TJ-R d4-1,1,2,terminated
Phoi Aescs VR-W,VR-W,d1,1,2,Phoi Aescs VR-W d1-2,1,2,terminated
